Date,Open,High,Low,Close,Volume
31-Mar-17,46.52,46.70,46.27,46.41,7814123
30-Mar-17,46.80,47.04,46.60,46.62,3449091
29-Mar-17,46.52,46.84,46.30,46.78,4403402
28-Mar-17,46.33,46.76,46.24,46.57,4630801
27-Mar-17,45.92,46.48,45.74,46.40,6016624
24-Mar-17,46.65,46.86,46.14,46.40,5607667
23-Mar-17,46.13,46.78,46.09,46.60,8297815
22-Mar-17,45.61,46.14,45.60,46.06,6773395
21-Mar-17,47.00,47.19,45.68,45.77,6469439
20-Mar-17,46.62,47.16,46.52,46.77,5822991
17-Mar-17,46.73,46.90,46.50,46.59,6192404
16-Mar-17,46.60,46.62,46.30,46.61,3627081
15-Mar-17,46.55,46.55,45.90,46.29,6279298
14-Mar-17,46.41,46.76,46.19,46.37,3800294
13-Mar-17,46.10,47.00,46.10,46.57,4702990
10-Mar-17,46.20,46.20,45.75,45.98,3824529
9-Mar-17,45.87,46.12,45.68,45.94,3767567
8-Mar-17,45.85,46.19,45.73,45.98,3331722
7-Mar-17,45.50,45.92,45.49,45.73,5116841
6-Mar-17,45.61,45.69,45.39,45.64,6694863
3-Mar-17,45.88,46.00,45.60,45.91,6758310
2-Mar-17,46.02,46.13,45.62,45.94,7017056
1-Mar-17,45.89,46.41,45.89,46.24,7258451
28-Feb-17,45.57,45.75,45.25,45.66,7201973
27-Feb-17,45.45,45.74,45.24,45.71,4006922
24-Feb-17,45.14,45.55,44.95,45.55,3714785
23-Feb-17,46.04,46.14,45.29,45.41,7812053
22-Feb-17,45.47,46.34,45.45,45.98,7730221
21-Feb-17,45.22,45.61,45.10,45.50,8115953
17-Feb-17,44.95,45.34,44.79,45.10,9417191
16-Feb-17,45.65,45.69,45.01,45.16,8972022
15-Feb-17,45.03,46.72,44.64,45.65,22509206
14-Feb-17,45.38,45.58,44.90,45.02,6676842
13-Feb-17,45.08,45.57,44.94,45.46,7491311
10-Feb-17,45.15,45.23,44.96,45.03,4158744
9-Feb-17,44.95,45.24,44.82,45.08,3769280
8-Feb-17,44.50,45.19,44.34,45.07,6531000
7-Feb-17,44.43,44.59,44.19,44.37,4445846
6-Feb-17,43.62,44.53,43.56,44.42,7308775
3-Feb-17,43.90,43.99,43.66,43.71,6422438
2-Feb-17,43.63,44.00,43.58,43.69,5065117
1-Feb-17,44.25,44.26,43.71,43.78,5307216
31-Jan-17,43.78,44.15,43.67,44.07,5153697
30-Jan-17,44.22,44.22,43.70,43.93,6906121
27-Jan-17,44.54,44.71,44.23,44.42,4943138
26-Jan-17,44.83,45.08,44.40,44.55,9974613
25-Jan-17,44.11,45.00,44.09,44.94,14388287
24-Jan-17,43.65,44.22,43.43,43.90,24933488
23-Jan-17,41.95,42.45,41.84,42.40,13662837
20-Jan-17,42.33,42.54,41.86,42.05,5511713
19-Jan-17,42.05,42.19,41.90,42.09,6005615
18-Jan-17,42.15,42.15,41.80,42.03,3594963
17-Jan-17,42.06,42.18,41.84,41.99,4779009
13-Jan-17,42.11,42.46,42.02,42.27,4513026
12-Jan-17,42.34,42.46,41.70,42.11,6024900
11-Jan-17,42.27,42.59,42.07,42.59,6946237
10-Jan-17,41.89,42.37,41.54,42.30,8111079
9-Jan-17,41.17,41.66,41.12,41.34,7797445
6-Jan-17,41.25,41.34,40.85,41.23,6087644
5-Jan-17,40.31,41.37,40.24,41.34,13122100
4-Jan-17,39.00,40.25,38.92,40.06,11759453
3-Jan-17,39.11,39.18,38.64,38.90,6084699
30-Dec-16,38.72,39.00,38.43,38.67,6432792
29-Dec-16,38.76,38.93,38.48,38.64,4170497
28-Dec-16,39.12,39.22,38.71,38.73,4428368
27-Dec-16,38.59,39.06,38.50,38.92,4240285
23-Dec-16,38.46,38.81,38.37,38.66,3841245
22-Dec-16,38.69,38.79,38.26,38.50,11685650
21-Dec-16,39.08,39.32,38.97,39.15,8296515
20-Dec-16,38.40,39.18,38.24,39.16,25008427
19-Dec-16,38.66,38.79,38.27,38.42,13615511
16-Dec-16,38.62,39.22,38.42,38.61,21694081
15-Dec-16,40.00,40.00,38.25,38.41,43669990
14-Dec-16,41.44,41.53,40.83,40.91,19555694
13-Dec-16,41.35,41.79,41.14,41.47,6564552
12-Dec-16,41.45,41.53,41.12,41.30,4451709
9-Dec-16,41.52,41.80,41.44,41.76,6836112
8-Dec-16,40.66,41.60,40.42,41.41,9171707
7-Dec-16,39.98,40.57,39.75,40.52,7208492
6-Dec-16,40.31,40.42,39.88,39.97,6987846
5-Dec-16,40.02,40.39,39.85,40.20,4408407
2-Dec-16,39.77,40.32,39.58,40.07,8588544
1-Dec-16,41.00,41.04,39.53,39.63,12624139
30-Nov-16,41.62,41.67,40.88,41.02,7644360
29-Nov-16,41.43,41.83,41.12,41.60,13085981
28-Nov-16,40.85,41.70,40.74,41.45,6836364
25-Nov-16,41.08,41.08,40.71,40.87,2586908
23-Nov-16,40.91,40.98,40.54,40.96,3719257
22-Nov-16,41.20,41.40,40.83,41.01,8881541
21-Nov-16,41.44,41.48,40.94,41.11,11355856
18-Nov-16,41.48,41.65,40.90,41.19,8138928
17-Nov-16,41.34,41.65,41.20,41.45,8692013
16-Nov-16,40.10,41.05,40.10,40.98,15609553
15-Nov-16,39.61,40.45,39.58,40.21,13364918
14-Nov-16,40.36,40.39,38.87,39.30,12692293
11-Nov-16,39.84,40.52,39.37,40.42,15178907
10-Nov-16,41.55,41.65,39.54,40.16,16443786
9-Nov-16,40.44,41.39,40.22,41.21,24000065
8-Nov-16,40.97,41.28,40.68,41.16,4229743
7-Nov-16,41.17,41.23,40.86,41.05,5430744
4-Nov-16,39.96,40.67,39.80,40.28,4579437
3-Nov-16,40.62,40.75,40.18,40.23,8112820
2-Nov-16,41.80,42.16,40.36,40.68,13019956
1-Nov-16,41.13,41.34,40.69,41.33,11751521
31-Oct-16,42.03,42.16,41.55,41.55,3749658
28-Oct-16,42.03,42.22,41.71,41.78,6197469
27-Oct-16,42.31,42.49,41.81,41.87,7240848
26-Oct-16,42.26,42.44,41.95,42.08,6123026
25-Oct-16,42.72,42.75,42.43,42.55,5338875
24-Oct-16,42.50,42.68,42.38,42.59,4346851
21-Oct-16,42.10,42.20,41.73,42.17,7194168
20-Oct-16,42.69,42.69,42.07,42.38,11671022
19-Oct-16,42.30,42.94,42.26,42.73,14532469
18-Oct-16,42.04,42.60,41.63,41.68,19360802
17-Oct-16,41.35,41.94,41.24,41.79,8620369
14-Oct-16,42.04,42.25,41.40,41.44,7781258
13-Oct-16,42.00,42.08,41.17,41.62,15689711
